location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2020-01-06 10:57:04 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 10:59:59 +0100;48;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:03:17 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:04:45 +0100;36;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:06:37 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:09:56 +0100;64;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:10:26 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:14:53 +0100;72;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:18:18 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:19:59 +0100;48;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:24:57 +0100;56;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:24:57 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:29:52 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:29:58 +0100;56;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:34:43 +0100;62;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:35:15 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:39:59 +0100;63;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:43:50 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:44:57 +0100;68;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:47:46 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:49:59 +0100;75;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:54:25 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:54:57 +0100;112;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 11:59:52 +0100;87;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 12:03:00 +0100;1;regular;""
